valid,0.9747666666666667
unique@1000,1.0
unique@10000,0.9992
FCD/Test,0.10167053853149355
SNN/Test,0.6261149663389599
Frag/Test,0.9990282986867728
Scaf/Test,0.9388769537912596
FCD/TestSF,0.5718158406585871
SNN/TestSF,0.5774120142059108
Frag/TestSF,0.9978279479363232
Scaf/TestSF,0.049463690599212184
IntDiv,0.8558121910373816
IntDiv2,0.8497845902926122
Filters,0.9961700235953903
logP,0.04127104002927383
SA,0.015257005578936103
QED,0.0011844057031245863
weight,1.374436284258533
Novelty,0.6892800768650058
